KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
CIB,HUY_DONG,13111,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY (QUA EMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua eMB) SP SO,2021-01-01 00:00:00.0000000,,,
TCKT,,13111,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn SP SO (KHCN trả),Tiền gửi CKH/Tiết kiệm số (qua kênh eMB),2023-07-26 00:00:00.0000000,,,
CIB,BAO_LANH,31211,BAO LANH,BAO LANH,BAO LANH NHAN HANG,BAO LANH NHAN HANG,Bảo lãnh,Bảo lãnh,Bảo lãnh nhận hàng,Bảo lãnh nhận hàng,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,11561,TKTT,THE GHI NO DANH CHO KHCN,THE GHI NO NOI DIA DANH CHO KHCN,THE PHAT HANH NHANH,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHCN,Thẻ phát hành nhanh,2022-03-09 00:00:00.0000000,TKTT,INDIV,TKTT
TOAN_HANG,,11561,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHCN,Thẻ phát hành nhanh,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHCN,Thẻ phát hành nhanh,2021-01-01 00:00:00.0000000,,,
TCKT,,11561,THE GHI NO,,,,Thẻ ghi nợ,Debit,Thẻ phát hành nhanh,Thẻ phát hành nhanh,2023-07-26 00:00:00.0000000,,,
NHS,HDV&TT,13218,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM MOBILE (QUA KENH ATM) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Mobile (Qua kênh ATM) SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,NHS,TKTK/TGCKH
TOAN_HANG,,13218,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Mobile (Qua kênh ATM) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Mobile (Qua kênh ATM) SP SO,2021-01-01 00:00:00.0000000,,,
TCKT,,15431,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Trả lương doanh nghiệp,2023-07-26 00:00:00.0000000,,,
TCKT,,118217,THE TIN DUNG,,,,Thẻ tín dụng,Gia han,Thẻ tín dụng gia hạn hạng Gold,Thẻ tín dụng quốc tế VISA gia hạn hạng Gold,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,26113,CHO VAY THE TIN DUNG,CHO VAY THE TIN DUNG DANH CHO KHDN,CHO VAY THE TIN DUNG QUOC TE DANH CHO KHDN,CHO VAY THE VISA,Cho vay thẻ tín dụng,Cho vay thẻ tín dụng dành cho KHDN,Cho vay thẻ tín dụng quốc tế dành cho KHDN,Cho vay thẻ VISA,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,26113,CHO VAY THE TIN DUNG,CHO VAY THE TIN DUNG DANH CHO KHDN,CHO VAY THE TIN DUNG QUOC TE DANH CHO KHDN,CHO VAY THE VISA,,Cho vay thẻ tín dụng dành cho KHDN,Cho vay thẻ tín dụng quốc tế dành cho KHDN,Cho vay thẻ VISA,2021-01-01 00:00:00.0000000,,,
TCKT,,16111,KIEU HOI,,,,Kiều hối,DS Chiều về ,Dịch vụ chuyển tiền  kiều hối về,Dịch vụ chuyển tiền  kiều hối về,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,24322,CV DT - KD CHUNG KHOAN,CHO VAY NHA DAU TU CHUNG KHOAN MBS,CHO VAY M-CREDIT,M-CREDIT MUC DICH TIEU DUNG,Cho vay đầu tư chứng khoán,Cho vay nhà đầu tư chứng khoán MBS,Cho vay M-Credit,,2022-03-09 00:00:00.0000000,CV CK,INDIV,CV CK
TCKT,,24322,CHO VAY,,,,Cho vay,CV Khác,CV Khác,M-credit muc dich tieu dung,2023-07-26 00:00:00.0000000,,,
TCKT,,22351,CHO VAY,,,,Cho vay,CV Nhà đất,CV Nhà đất,Cho vay tái tài trợ nhà đất tiêu dùng,2023-07-26 00:00:00.0000000,,,
TCKT,,61191,BAO HIEM,,,,Bảo hiểm,MIC,Mô hình MIC 50,Mô hình MIC 50,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,11141,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tien gui TT Kho bac Nha nuoc,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tien gui TT Kho bac Nha nuoc,2021-01-01 00:00:00.0000000,,,
